Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
116,Entry long,2024-04-30 15:00," | F:70,11,2,0,0.55,0,1,56.23,1,0,11.31",196.902,53785,10590374.07,-43.37,-0.06,34.77,0.05,-43.37,-0.06,-806.87,-0.01
117,Exit long,2024-04-30 15:30,Long Exit,196.687,35838,7056000.468,-45.64,-0.10,26.61,0.06,-45.64,-0.10,-852.52,-0.01
117,Entry long,2024-04-30 15:10," | F:70,40,2,0,0.48,0,1,53.05,1,0,12.18",196.886,35838,7056000.468,-45.64,-0.10,26.61,0.06,-45.64,-0.10,-852.52,-0.01
118,Exit long,2024-05-01 13:30,Long Exit,197.109,161122,31763268.84,-29.61,-0.01,57.17,0.03,-29.61,-0.01,-882.12,-0.01
118,Entry long,2024-05-01 13:10," | F:75,27,1,0,0.73,0,1,38.79,1,0,18.95",197.138,161122,31763268.84,-29.61,-0.01,57.17,0.03,-29.61,-0.01,-882.12,-0.01
119,Exit long,2024-05-01 15:55,Long Exit,197.04,57178,11273100.12,-42.75,-0.06,7.97,0.01,-42.75,-0.06,-924.87,-0.01
119,Entry long,2024-05-01 15:35," | F:65,12,2,0,0.76,0,1,54.78,1,0,13.74",197.158,57178,11273100.12,-42.75,-0.06,7.97,0.01,-42.75,-0.06,-924.87,-0.01
120,Exit long,2024-05-08 21:45,Time Stop (Bars),194.487,45189,8784108.954,29.51,0.05,35.06,0.06,-35.06,-0.06,-895.36,-0.01
120,Entry long,2024-05-08 18:45," | F:75,18,2,0,0.85,0,1,65.79,1,0,17.9",194.386,45189,8784108.954,29.51,0.05,35.06,0.06,-35.06,-0.06,-895.36,-0.01
121,Exit long,2024-05-13 21:00,Time Stop (Bars),196.174,38265,7496725.74,63.35,0.13,89.13,0.19,-4.17,-0.01,-832.01,-0.01
121,Entry long,2024-05-13 18:00," | F:75,9,2,0,0.9,0,1,68.35,1,0,28.38",195.916,38265,7496725.74,63.35,0.13,89.13,0.19,-4.17,-0.01,-832.01,-0.01
122,Exit long,2024-05-14 18:40,Long Exit,196.967,45989,9041759.323,105.94,0.18,105.94,0.18,-8.53,-0.01,-726.07,-0.01
