Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
123,Entry short,2023-05-31 20:45," | F:55,21,2,1,0.42,0,1,56.06,1,1.17",1967.51,37,72797.87,108.04,0.15,108.04,0.15,-20.35,-0.03,320.25,0.00
124,Exit short,2023-06-01 08:30,Short Exit,1964.9,50,98204.5,-40.5,-0.04,45.5,0.05,-40.5,-0.04,279.75,0.00
124,Entry short,2023-06-01 07:30," | F:70,11,0,1,0.85,0,1,46.7,1,1.11",1964.09,50,98204.5,-40.5,-0.04,45.5,0.05,-40.5,-0.04,279.75,0.00
125,Exit long,2023-06-01 15:30,Long Exit,1963.87,28,54884.2,104.16,0.19,104.16,0.19,-20.72,-0.04,383.91,0.00
125,Entry long,2023-06-01 15:25," | F:55,33,2,0,0.53,0,0,34.16,1,1.43",1960.15,28,54884.2,104.16,0.19,104.16,0.19,-20.72,-0.04,383.91,0.00
126,Exit long,2023-06-02 01:30,Long Exit,1976.57,74,146301.7,-35.52,-0.02,18.5,0.01,-35.52,-0.02,348.39,0.00
126,Entry long,2023-06-02 01:05," | F:70,24,3,0,1.1,0,1,42.99,1,0.17",1977.05,74,146301.7,-35.52,-0.02,18.5,0.01,-35.52,-0.02,348.39,0.00
127,Exit short,2023-06-05 03:30,Short Exit,1945.91,42,81836.58,108.36,0.13,108.36,0.13,-21,-0.03,456.75,0.00
127,Entry short,2023-06-05 03:00," | F:70,11,0,1,0.73,0,0,44.97,0,1.79",1948.49,42,81836.58,108.36,0.13,108.36,0.13,-21,-0.03,456.75,0.00
128,Exit short,2023-06-06 02:30,Short Exit,1962.73,60,117726,-37.8,-0.03,35.4,0.03,-37.8,-0.03,418.95,0.00
128,Entry short,2023-06-06 02:00," | F:50,31,3,1,2.05,0,1,57.18,1,1.39",1962.1,60,117726,-37.8,-0.03,35.4,0.03,-37.8,-0.03,418.95,0.00
129,Exit long,2023-06-07 18:00,Long Exit,1956.48,23,45044.81,-45.77,-0.10,20.93,0.05,-45.77,-0.10,373.18,0.00
129,Entry long,2023-06-07 17:40," | F:55,81,2,0,0.45,0,0,41.33,1,1.17",1958.47,23,45044.81,-45.77,-0.10,20.93,0.05,-45.77,-0.10,373.18,0.00
130,Exit long,2023-06-08 09:05,Long Exit,1944.72,52,101165.48,-40.04,-0.04,3.64,0.00,-40.04,-0.04,333.14,0.00
130,Entry long,2023-06-08 09:00," | F:45,41,0,0,1.14,0,0,41.42,0,2.35",1945.49,52,101165.48,-40.04,-0.04,3.64,0.00,-40.04,-0.04,333.14,0.00
131,Exit long,2023-06-09 02:15,Long Exit,1965.5,109,214267.84,-28.34,-0.01,0,0.00,-28.34,-0.01,304.8,0.00
