Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
22,Entry long,2023-02-24 20:30, | F:score=70 | F:fresh=8 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.69 | F:is_accuracy=0 | F:trend=1 | F:rsi=55.85 | F:htf_trend=1 | F:rvol=0 | F:adx=18.69 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=29.13 | F:liquidity_distance=94.4 | F:liquidity_spread=4.5 | F:return_strength=36.67,163.036,103341,16848303.28,-55.23,-0.04,46.79,0.04,-55.23,-0.04,-54.26,0.00
23,Exit short,2023-02-28 08:40,Short Exit,164.197,109904,18038433.62,-54.84,-0.04,29.84,0.02,-54.84,-0.04,-109.1,0.00
23,Entry short,2023-02-28 08:15, | F:score=55 | F:fresh=8 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.44 | F:is_accuracy=1 | F:trend=1 | F:rsi=43 | F:htf_trend=1 | F:rvol=0 | F:adx=21.68 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=52.96 | F:liquidity_distance=96.4 | F:liquidity_spread=5.7 | F:return_strength=50,164.129,109904,18038433.62,-54.84,-0.04,29.84,0.02,-54.84,-0.04,-109.1,0.00
24,Exit long,2023-02-28 20:10,Long Exit,164.096,57560,9449107.16,-27.45,-0.04,0.42,0.00,-27.45,-0.04,-136.56,0.00
24,Entry long,2023-02-28 20:05, | F:score=75 | F:fresh=139 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.33 | F:is_accuracy=1 | F:trend=0 | F:rsi=28.2 | F:htf_trend=1 | F:rvol=0 | F:adx=56.17 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=26.97 | F:liquidity_distance=98.2 | F:liquidity_spread=16.1 | F:return_strength=50,164.161,57560,9449107.16,-27.45,-0.04,0.42,0.00,-27.45,-0.04,-136.56,0.00
25,Exit short,2023-03-01 10:50,Short Exit,164.108,50885,8364120.105,98.95,0.16,98.95,0.16,-50.78,-0.08,-37.61,0.00
25,Entry short,2023-03-01 09:30, | F:score=75 | F:fresh=173 | F:session=1 | F:zone_type=1 | F:atr_ratio=1.23 | F:is_accuracy=1 | F:trend=1 | F:rsi=65.55 | F:htf_trend=1 | F:rvol=0 | F:adx=18.2 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=44.31 | F:liquidity_distance=87.4 | F:liquidity_spread=15.3 | F:return_strength=100,164.373,50885,8364120.105,98.95,0.16,98.95,0.16,-50.78,-0.08,-37.61,0.00
26,Exit long,2023-03-02 10:15,Long Exit,163.426,53412,8736066.72,-52.53,-0.08,0.39,0.00,-52.53,-0.08,-90.14,0.00
26,Entry long,2023-03-02 10:10, | F:score=50 | F:fresh=151 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.76 | F:is_accuracy=0 | F:trend=0 | F:rsi=37.02 | F:htf_trend=1 | F:rvol=0 | F:adx=18.73 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=32.08 | F:liquidity_distance=87.4 | F:liquidity_spread=5.5 | F:return_strength=100,163.56,53412,8736066.72,-52.53,-0.08,0.39,0.00,-52.53,-0.08,-90.14,0.00
27,Exit long,2023-03-03 11:25,Long Exit,163.282,52025,8501873.475,-52.09,-0.08,24.34,0.04,-52.09,-0.08,-142.24,0.00
27,Entry long,2023-03-03 11:10, | F:score=55 | F:fresh=10 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.86 | F:is_accuracy=0 | F:trend=0 | F:rsi=52.55 | F:htf_trend=1 | F:rvol=0 | F:adx=16.52 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=54.21 | F:liquidity_distance=87.4 | F:liquidity_spread=9.3 | F:return_strength=100,163.419,52025,8501873.475,-52.09,-0.08,24.34,0.04,-52.09,-0.08,-142.24,0.00
28,Exit long,2023-03-03 12:50,Long Exit,163.482,29607,4833490.785,49.12,0.14,49.12,0.14,-19.48,-0.06,-93.12,0.00
28,Entry long,2023-03-03 12:00, | F:score=60 | F:fresh=221 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.56 | F:is_accuracy=1 | F:trend=0 | F:rsi=42.58 | F:htf_trend=1 | F:rvol=0 | F:adx=21.58 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=32.34 | F:liquidity_distance=93.8 | F:liquidity_spread=31.5 | F:return_strength=53.89,163.255,29607,4833490.785,49.12,0.14,49.12,0.14,-19.48,-0.06,-93.12,0.00
29,Exit long,2023-03-06 10:10,Long Exit,163.492,61676,10066756.72,123.49,0.17,123.49,0.17,-18.61,-0.03,30.37,0.00
29,Entry long,2023-03-06 09:00, | F:score=50 | F:fresh=35 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.78 | F:is_accuracy=0 | F:trend=0 | F:rsi=40.62 | F:htf_trend=1 | F:rvol=0 | F:adx=20.7 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=40.37 | F:liquidity_distance=98.2 | F:liquidity_spread=4.5 | F:return_strength=100,163.22,61676,10066756.72,123.49,0.17,123.49,0.17,-18.61,-0.03,30.37,0.00
30,Exit long,2023-03-09 16:00,Long Exit,162.153,50056,8103265.504,97.99,0.17,97.99,0.17,-2.55,0.00,128.36,0.00
30,Entry long,2023-03-09 15:40, | F:score=55 | F:fresh=34 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.86 | F:is_accuracy=0 | F:trend=0 | F:rsi=44.75 | F:htf_trend=0 | F:rvol=0 | F:adx=14.73 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=48.52 | F:liquidity_distance=92.6 | F:liquidity_spread=12.7 | F:return_strength=100,161.884,50056,8103265.504,97.99,0.17,97.99,0.17,-2.55,0.00,128.36,0.00
31,Exit long,2023-03-09 19:40,Long Exit,162.432,79224,12872394.74,-28.25,-0.03,5.19,0.01,-28.25,-0.03,100.11,0.00
31,Entry long,2023-03-09 19:30, | F:score=80 | F:fresh=12 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.34 | F:is_accuracy=1 | F:trend=1 | F:rsi=52.61 | F:htf_trend=0 | F:rvol=0 | F:adx=23.39 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=39.46 | F:liquidity_distance=84.6 | F:liquidity_spread=6.9 | F:return_strength=59.39,162.481,79224,12872394.74,-28.25,-0.03,5.19,0.01,-28.25,-0.03,100.11,0.00
32,Exit short,2023-03-17 20:20,Short Exit,160.685,63487,10217724.75,122.03,0.16,122.03,0.16,-6.17,-0.01,222.14,0.00
32,Entry short,2023-03-17 20:00, | F:score=70 | F:fresh=8 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.7 | F:is_accuracy=0 | F:trend=0 | F:rsi=58.12 | F:htf_trend=0 | F:rvol=0 | F:adx=22.28 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=42.88 | F:liquidity_distance=88.8 | F:liquidity_spread=10.9 | F:return_strength=100,160.942,63487,10217724.75,122.03,0.16,122.03,0.16,-6.17,-0.01,222.14,0.00
33,Exit short,2023-03-19 23:00,Short Exit,160.783,30782,4945743.94,-26.01,-0.07,58.02,0.16,-26.01,-0.07,196.12,0.00
33,Entry short,2023-03-17 21:05, | F:score=65 | F:fresh=10 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.79 | F:is_accuracy=0 | F:trend=0 | F:rsi=46.95 | F:htf_trend=0 | F:rvol=0 | F:adx=19.24 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=99.6 | F:liquidity_spread=18.4 | F:return_strength=100,160.67,30782,4945743.94,-26.01,-0.07,58.02,0.16,-26.01,-0.07,196.12,0.00
34,Exit short,2023-03-20 23:00,Short Exit,161.044,37125,5991789.375,98.79,0.22,98.79,0.22,-37.15,-0.08,294.91,0.00
34,Entry short,2023-03-20 20:30, | F:score=50 | F:fresh=10 | F:session=2 | F:zone_type=1 | F:atr_ratio=1 | F:is_accuracy=0 | F:trend=1 | F:rsi=45.86 | F:htf_trend=0 | F:rvol=0 | F:adx=18.95 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=44.8 | F:liquidity_distance=97.4 | F:liquidity_spread=10.5 | F:return_strength=50,161.395,37125,5991789.375,98.79,0.22,98.79,0.22,-37.15,-0.08,294.91,0.00
35,Exit long,2023-03-22 15:45,Long Exit,162.322,94765,15389646.47,-54.34,-0.05,27.17,0.02,-54.34,-0.05,240.57,0.00
35,Entry long,2023-03-22 15:40, | F:score=75 | F:fresh=76 | F:session=2 | F:zone_type=0 | F:atr_ratio=1.5 | F:is_accuracy=0 | F:trend=0 | F:rsi=20.43 | F:htf_trend=1 | F:rvol=0 | F:adx=43.78 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=61.2 | F:liquidity_distance=84.6 | F:liquidity_spread=12.7 | F:return_strength=100,162.398,94765,15389646.47,-54.34,-0.05,27.17,0.02,-54.34,-0.05,240.57,0.00
36,Exit long,2023-03-23 19:25,Long Exit,161.043,52303,8429883.722,-52.11,-0.08,34.21,0.05,-52.11,-0.08,188.46,0.00
36,Entry long,2023-03-23 18:40, | F:score=55 | F:fresh=127 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.18 | F:is_accuracy=1 | F:trend=0 | F:rsi=37.1 | F:htf_trend=0 | F:rvol=0 | F:adx=22.22 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=45.66 | F:liquidity_distance=87.6 | F:liquidity_spread=7.8 | F:return_strength=42.51,161.174,52303,8429883.722,-52.11,-0.08,34.21,0.05,-52.11,-0.08,188.46,0.00
37,Exit short,2023-03-24 22:20,Short Exit,159.922,51465,8223540.885,-52.29,-0.08,22.81,0.04,-52.29,-0.08,136.17,0.00
