Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
39,Exit long,2023-03-09 15:30,Long Exit,1819.79,33,59954.4,98.67,0.16,98.67,0.16,-6.27,-0.01,463.41,0.00
39,Entry long,2023-03-09 15:20, | F:score=75 | F:fresh=59 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.94 | F:is_accuracy=0 | F:trend=1 | F:rsi=40.17 | F:htf_trend=0 | F:rvol=2.31 | F:adx=24.83 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=39.38 | F:liquidity_distance=14 | F:liquidity_spread=100 | F:return_strength=50,1816.8,33,59954.4,98.67,0.16,98.67,0.16,-6.27,-0.01,463.41,0.00
40,Exit long,2023-03-10 13:30,Long Exit,1836.24,27,49479.39,99.09,0.20,99.09,0.20,-12.15,-0.02,562.5,0.01
40,Entry long,2023-03-10 12:00, | F:score=70 | F:fresh=38 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.49 | F:is_accuracy=0 | F:trend=1 | F:rsi=43.88 | F:htf_trend=1 | F:rvol=1.12 | F:adx=28.18 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=53.44 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=100,1832.57,27,49479.39,99.09,0.20,99.09,0.20,-12.15,-0.02,562.5,0.01
41,Exit short,2023-03-14 15:45,Short Exit,1896.75,8,15246.88,72.88,0.48,72.88,0.48,-41.68,-0.27,635.38,0.01
41,Entry short,2023-03-14 14:30, | F:score=55 | F:fresh=55 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.43 | F:is_accuracy=0 | F:trend=1 | F:rsi=56.78 | F:htf_trend=1 | F:rvol=4.72 | F:adx=22.28 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=44.67 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=50,1905.86,8,15246.88,72.88,0.48,72.88,0.48,-41.68,-0.27,635.38,0.01
42,Exit long,2023-03-15 13:10,Long Exit,1905.2,26,49587.2,-52,-0.10,6.24,0.01,-52,-0.10,583.38,0.01
42,Entry long,2023-03-15 13:05, | F:score=75 | F:fresh=10 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.98 | F:is_accuracy=0 | F:trend=1 | F:rsi=65.57 | F:htf_trend=1 | F:rvol=0.88 | F:adx=45.43 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=55.2 | F:liquidity_distance=80 | F:liquidity_spread=100 | F:return_strength=100,1907.2,26,49587.2,-52,-0.10,6.24,0.01,-52,-0.10,583.38,0.01
43,Exit short,2023-03-20 11:00,Short Exit,1995.1,11,22019.03,72.93,0.33,72.93,0.33,-1.21,-0.01,656.31,0.01
43,Entry short,2023-03-20 10:35, | F:score=55 | F:fresh=11 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.94 | F:is_accuracy=0 | F:trend=1 | F:rsi=57.07 | F:htf_trend=1 | F:rvol=0.87 | F:adx=29.9 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=26.75 | F:liquidity_distance=94 | F:liquidity_spread=86 | F:return_strength=50,2001.73,11,22019.03,72.93,0.33,72.93,0.33,-1.21,-0.01,656.31,0.01
