Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
475,Entry long,2025-07-18 16:10, | F:score=75 | F:fresh=8 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.62 | F:is_accuracy=1 | F:trend=1 | F:rsi=56.95 | F:htf_trend=0 | F:rvol=0.9 | F:adx=16.92 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=96.8 | F:liquidity_spread=3.6 | F:return_strength=100,1.16537,78125,91044.53125,-54.69,-0.06,142.19,0.16,-54.69,-0.06,-3394.72,-0.03
476,Exit short,2025-07-22 15:15,Short Exit,1.16905,100000,117052,147,0.13,147,0.13,-43,-0.04,-3247.72,-0.03
476,Entry short,2025-07-22 13:05, | F:score=55 | F:fresh=222 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.99 | F:is_accuracy=0 | F:trend=1 | F:rsi=64.16 | F:htf_trend=1 | F:rvol=0.95 | F:adx=25.32 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=31.73 | F:liquidity_distance=94.4 | F:liquidity_spread=8.2 | F:return_strength=36.67,1.17052,100000,117052,147,0.13,147,0.13,-43,-0.04,-3247.72,-0.03
477,Exit long,2025-07-22 15:45,Long Exit,1.16863,50000,58459.5,-28,-0.05,8,0.01,-28,-0.05,-3275.72,-0.03
477,Entry long,2025-07-22 15:20, | F:score=80 | F:fresh=54 | F:session=2 | F:zone_type=0 | F:atr_ratio=1.71 | F:is_accuracy=1 | F:trend=1 | F:rsi=36.49 | F:htf_trend=1 | F:rvol=0.99 | F:adx=18.39 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=20.8 | F:liquidity_distance=97.6 | F:liquidity_spread=5.8 | F:return_strength=50,1.16919,50000,58459.5,-28,-0.05,8,0.01,-28,-0.05,-3275.72,-0.03
478,Exit short,2025-07-23 17:00,Short Exit,1.17317,78125,91599.21875,-54.69,-0.06,107.81,0.12,-54.69,-0.06,-3330.4,-0.03
478,Entry short,2025-07-23 16:20, | F:score=70 | F:fresh=13 | F:session=2 | F:zone_type=1 | F:atr_ratio=1.14 | F:is_accuracy=0 | F:trend=0 | F:rsi=48.07 | F:htf_trend=1 | F:rvol=0.78 | F:adx=13.12 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=43.3 | F:liquidity_distance=98.8 | F:liquidity_spread=7 | F:return_strength=50,1.17247,78125,91599.21875,-54.69,-0.06,107.81,0.12,-54.69,-0.06,-3330.4,-0.03
479,Exit long,2025-07-24 17:55,Long Exit,1.17642,71429,84084.79022,-54.29,-0.06,62.86,0.07,-54.29,-0.06,-3384.69,-0.03
479,Entry long,2025-07-24 17:25, | F:score=70 | F:fresh=9 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.64 | F:is_accuracy=0 | F:trend=1 | F:rsi=55.03 | F:htf_trend=1 | F:rvol=0.43 | F:adx=32.19 | F:touch_count=1 | F:base_quality=80 | F:departure_strength=50 | F:liquidity_distance=91.6 | F:liquidity_spread=6.3 | F:return_strength=100,1.17718,71429,84084.79022,-54.29,-0.06,62.86,0.07,-54.29,-0.06,-3384.69,-0.03
480,Exit short,2025-07-25 17:15,Short Exit,1.17317,56180,65855.3196,-53.37,-0.08,95.51,0.15,-53.37,-0.08,-3438.06,-0.03
480,Entry short,2025-07-25 16:25, | F:score=75 | F:fresh=29 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.4 | F:is_accuracy=1 | F:trend=0 | F:rsi=50.44 | F:htf_trend=1 | F:rvol=0.97 | F:adx=44.08 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=52.04 | F:liquidity_distance=98.2 | F:liquidity_spread=16 | F:return_strength=50,1.17222,56180,65855.3196,-53.37,-0.08,95.51,0.15,-53.37,-0.08,-3438.06,-0.03
481,Exit short,2025-07-28 16:45,Short Exit,1.16268,38168,44476.02536,98.86,0.22,98.86,0.22,-47.71,-0.11,-3339.21,-0.03
481,Entry short,2025-07-28 15:05, | F:score=75 | F:fresh=17 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.7 | F:is_accuracy=0 | F:trend=0 | F:rsi=45.35 | F:htf_trend=0 | F:rvol=1.27 | F:adx=42.88 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=31.72 | F:liquidity_distance=95.8 | F:liquidity_spread=4.3 | F:return_strength=100,1.16527,38168,44476.02536,98.86,0.22,98.86,0.22,-47.71,-0.11,-3339.21,-0.03
482,Exit long,2025-07-28 18:05,Long Exit,1.16327,43103,50168.01273,-27.59,-0.05,0,0.00,-27.59,-0.05,-3366.79,-0.03
482,Entry long,2025-07-28 18:00, | F:score=50 | F:fresh=8 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.8 | F:is_accuracy=0 | F:trend=0 | F:rsi=45.94 | F:htf_trend=0 | F:rvol=0.92 | F:adx=19.54 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=94.6 | F:liquidity_spread=6.6 | F:return_strength=34.85,1.16391,43103,50168.01273,-27.59,-0.05,0,0.00,-27.59,-0.05,-3366.79,-0.03
483,Exit short,2025-07-28 22:00,Short Exit,1.15956,227273,263473.0434,-63.64,-0.02,68.18,0.03,-63.64,-0.02,-3430.43,-0.03
483,Entry short,2025-07-28 21:40, | F:score=70 | F:fresh=14 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.72 | F:is_accuracy=0 | F:trend=0 | F:rsi=41.63 | F:htf_trend=0 | F:rvol=0.89 | F:adx=50.85 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=54.9 | F:liquidity_distance=99.2 | F:liquidity_spread=4.4 | F:return_strength=79.34,1.15928,227273,263473.0434,-63.64,-0.02,68.18,0.03,-63.64,-0.02,-3430.43,-0.03
484,Exit short,2025-07-30 13:10,Time Stop (Bars),1.15517,58140,67214.4912,52.91,0.08,91.86,0.14,-27.91,-0.04,-3377.52,-0.03
484,Entry short,2025-07-30 10:10, | F:score=55 | F:fresh=47 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.39 | F:is_accuracy=1 | F:trend=1 | F:rsi=57.89 | F:htf_trend=0 | F:rvol=1.14 | F:adx=22.3 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=37.71 | F:liquidity_distance=89.8 | F:liquidity_spread=4.6 | F:return_strength=100,1.15608,58140,67214.4912,52.91,0.08,91.86,0.14,-27.91,-0.04,-3377.52,-0.03
485,Exit short,2025-08-04 17:50,Short Exit,1.15656,87719,101599.6546,147.37,0.15,147.37,0.15,-29.82,-0.03,-3230.15,-0.03
485,Entry short,2025-08-04 17:25, | F:score=55 | F:fresh=12 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.68 | F:is_accuracy=0 | F:trend=1 | F:rsi=55.43 | F:htf_trend=1 | F:rvol=0.96 | F:adx=11.7 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=42.77 | F:liquidity_distance=98.8 | F:liquidity_spread=8.3 | F:return_strength=56.27,1.15824,87719,101599.6546,147.37,0.15,147.37,0.15,-29.82,-0.03,-3230.15,-0.03
486,Exit long,2025-08-05 13:20,Long Exit,1.15353,78125,90174.21875,-54.69,-0.06,0,0.00,-54.69,-0.06,-3284.84,-0.03
