Trade #,Type,Date and time,Signal,Price CAD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
79,Exit short,2023-06-19 14:35,Short Exit,1.69176,111111,187896.4788,-58.06,-0.04,48.8,0.03,-58.06,-0.04,-1085.43,-0.01
79,Entry short,2023-06-19 13:30, | F:score=75 | F:fresh=9 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.58 | F:is_accuracy=0 | F:trend=0 | F:rsi=51.35 | F:htf_trend=1 | F:rvol=0 | F:adx=15.06 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=47.9 | F:liquidity_distance=97.2 | F:liquidity_spread=8.8 | F:return_strength=50,1.69107,111111,187896.4788,-58.06,-0.04,48.8,0.03,-58.06,-0.04,-1085.43,-0.01
80,Exit short,2023-06-20 10:10,Short Exit,1.69145,57377,96976.88409,-55.57,-0.08,1.74,0.00,-55.57,-0.08,-1141,-0.01
80,Entry short,2023-06-20 10:00, | F:score=55 | F:fresh=31 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.77 | F:is_accuracy=1 | F:trend=0 | F:rsi=46.51 | F:htf_trend=1 | F:rvol=0 | F:adx=12.7 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=43.41 | F:liquidity_distance=98.2 | F:liquidity_spread=12.5 | F:return_strength=32.02,1.69017,57377,96976.88409,-55.57,-0.08,1.74,0.00,-55.57,-0.08,-1141,-0.01
81,Exit long,2023-06-21 09:00,Long Exit,1.68795,137255,231473.6947,155.48,0.09,155.48,0.09,-43.53,-0.02,-985.52,-0.01
81,Entry long,2023-06-21 08:10, | F:score=55 | F:fresh=12 | F:session=0 | F:zone_type=0 | F:atr_ratio=0.53 | F:is_accuracy=1 | F:trend=0 | F:rsi=47.72 | F:htf_trend=1 | F:rvol=0 | F:adx=30.62 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=22.78 | F:liquidity_distance=95.6 | F:liquidity_spread=3.6 | F:return_strength=70.85,1.68645,137255,231473.6947,155.48,0.09,155.48,0.09,-43.53,-0.02,-985.52,-0.01
82,Exit long,2023-06-22 22:20,Long Exit,1.67656,132075,221225.625,156.42,0.09,156.42,0.09,-47.13,-0.03,-829.09,-0.01
82,Entry long,2023-06-22 21:25, | F:score=50 | F:fresh=7 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.94 | F:is_accuracy=0 | F:trend=0 | F:rsi=43.5 | F:htf_trend=0 | F:rvol=0 | F:adx=28.09 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=43.92 | F:liquidity_distance=97.6 | F:liquidity_spread=1.3 | F:return_strength=70,1.675,132075,221225.625,156.42,0.09,156.42,0.09,-47.13,-0.03,-829.09,-0.01
83,Exit long,2023-06-26 22:25,Long Exit,1.67121,155556,260046.0763,-60.15,-0.03,121.48,0.06,-60.15,-0.03,-889.25,-0.01
83,Entry long,2023-06-26 21:00, | F:score=55 | F:fresh=17 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.74 | F:is_accuracy=0 | F:trend=0 | F:rsi=43.66 | F:htf_trend=0 | F:rvol=0 | F:adx=11.15 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=52.42 | F:liquidity_distance=92.6 | F:liquidity_spread=7.6 | F:return_strength=69.22,1.67172,155556,260046.0763,-60.15,-0.03,121.48,0.06,-60.15,-0.03,-889.25,-0.01
84,Exit long,2023-06-28 10:25,Long Exit,1.68199,79545,133868.6669,-56.65,-0.06,5.42,0.01,-56.65,-0.06,-945.89,-0.01
84,Entry long,2023-06-28 10:15, | F:score=70 | F:fresh=14 | F:session=1 | F:zone_type=0 | F:atr_ratio=1.38 | F:is_accuracy=0 | F:trend=1 | F:rsi=58.56 | F:htf_trend=1 | F:rvol=0 | F:adx=27.52 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=34.17 | F:liquidity_distance=95.8 | F:liquidity_spread=9.5 | F:return_strength=50,1.68293,79545,133868.6669,-56.65,-0.06,5.42,0.01,-56.65,-0.06,-945.89,-0.01
85,Exit short,2023-06-30 17:45,Short Exit,1.68324,95890,161330.1305,-57.13,-0.05,2.89,0.00,-57.13,-0.05,-1003.02,-0.01
85,Entry short,2023-06-30 17:35, | F:score=55 | F:fresh=14 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.57 | F:is_accuracy=0 | F:trend=1 | F:rsi=60.62 | F:htf_trend=1 | F:rvol=0 | F:adx=26.15 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=52.47 | F:liquidity_distance=91.4 | F:liquidity_spread=16.6 | F:return_strength=100,1.68245,95890,161330.1305,-57.13,-0.05,2.89,0.00,-57.13,-0.05,-1003.02,-0.01
