Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
325,Exit long,2025-01-02 15:15,Long Exit,156.956,62308,9783913.7,-27.3,-0.04,12.27,0.02,-27.3,-0.04,-8108.34,-0.08
325,Entry long,2025-01-02 15:10, | F:score=75 | F:fresh=30 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.64 | F:is_accuracy=0 | F:trend=0 | F:rsi=44.36 | F:htf_trend=1 | F:rvol=0 | F:adx=20 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=45.88 | F:liquidity_distance=84.2 | F:liquidity_spread=11.3 | F:return_strength=45.9,157.025,62308,9783913.7,-27.3,-0.04,12.27,0.02,-27.3,-0.04,-8108.34,-0.08
326,Exit long,2025-01-02 15:30,Long Exit,157.006,156844,24602393,146.41,0.09,146.41,0.09,-2.99,0.00,-7961.93,-0.08
326,Entry long,2025-01-02 15:25, | F:score=60 | F:fresh=43 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.58 | F:is_accuracy=1 | F:trend=0 | F:rsi=32.93 | F:htf_trend=1 | F:rvol=0 | F:adx=24.05 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=37.92 | F:liquidity_distance=99.8 | F:liquidity_spread=15 | F:return_strength=50,156.859,156844,24602393,146.41,0.09,146.41,0.09,-2.99,0.00,-7961.93,-0.08
327,Exit short,2025-01-03 15:55,Short Exit,157.24,133197,20935238.48,-54.94,-0.04,60.01,0.05,-54.94,-0.04,-8016.87,-0.08
327,Entry short,2025-01-03 15:25, | F:score=70 | F:fresh=17 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.57 | F:is_accuracy=0 | F:trend=0 | F:rsi=50.03 | F:htf_trend=1 | F:rvol=0 | F:adx=21.6 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=30.36 | F:liquidity_distance=95 | F:liquidity_spread=13.5 | F:return_strength=46.32,157.175,133197,20935238.48,-54.94,-0.04,60.01,0.05,-54.94,-0.04,-8016.87,-0.08
328,Exit long,2025-01-06 10:20,Long Exit,157.729,151510,23874339.76,147.29,0.10,147.29,0.10,-5.78,0.00,-7869.58,-0.08
328,Entry long,2025-01-06 09:30, | F:score=65 | F:fresh=75 | F:session=1 | F:zone_type=0 | F:atr_ratio=1.22 | F:is_accuracy=0 | F:trend=1 | F:rsi=37.8 | F:htf_trend=1 | F:rvol=0 | F:adx=36.88 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=97.8 | F:liquidity_spread=11.3 | F:return_strength=37.67,157.576,151510,23874339.76,147.29,0.10,147.29,0.10,-5.78,0.00,-7869.58,-0.08
329,Exit long,2025-01-07 09:30,Long Exit,157.535,138233,21785244.33,-55.23,-0.04,21.92,0.02,-55.23,-0.04,-7924.81,-0.08
329,Entry long,2025-01-07 09:20, | F:score=70 | F:fresh=111 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.24 | F:is_accuracy=0 | F:trend=0 | F:rsi=29.64 | F:htf_trend=1 | F:rvol=0 | F:adx=39.98 | F:touch_count=1 | F:base_quality=40 | F:departure_strength=25.67 | F:liquidity_distance=94.2 | F:liquidity_spread=4.3 | F:return_strength=100,157.598,138233,21785244.33,-55.23,-0.04,21.92,0.02,-55.23,-0.04,-7924.81,-0.08
330,Exit short,2025-01-07 21:30,Time Stop (Bars),157.801,19063,3008999.235,5.32,0.03,31.31,0.16,-8.46,-0.04,-7919.49,-0.08
330,Entry short,2025-01-07 18:30, | F:score=50 | F:fresh=10 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.84 | F:is_accuracy=0 | F:trend=1 | F:rsi=44.47 | F:htf_trend=1 | F:rvol=0 | F:adx=17.58 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=99.4 | F:liquidity_spread=18.5 | F:return_strength=100,157.845,19063,3008999.235,5.32,0.03,31.31,0.16,-8.46,-0.04,-7919.49,-0.08
331,Exit long,2025-01-08 08:10,Long Exit,158.083,129627,20500510.05,-54.92,-0.04,25.41,0.02,-54.92,-0.04,-7974.41,-0.08
331,Entry long,2025-01-08 07:30, | F:score=70 | F:fresh=30 | F:session=0 | F:zone_type=0 | F:atr_ratio=0.71 | F:is_accuracy=0 | F:trend=1 | F:rsi=43.69 | F:htf_trend=1 | F:rvol=0 | F:adx=19.62 | F:touch_count=1 | F:base_quality=80 | F:departure_strength=50.49 | F:liquidity_distance=88.8 | F:liquidity_spread=5.5 | F:return_strength=100,158.15,129627,20500510.05,-54.92,-0.04,25.41,0.02,-54.92,-0.04,-7974.41,-0.08
332,Exit long,2025-01-08 08:35,Long Exit,158.018,53408,8443697.984,-27.02,-0.05,3.04,0.01,-27.02,-0.05,-8001.43,-0.08
332,Entry long,2025-01-08 08:20, | F:score=75 | F:fresh=46 | F:session=0 | F:zone_type=0 | F:atr_ratio=0.42 | F:is_accuracy=1 | F:trend=1 | F:rsi=42.26 | F:htf_trend=1 | F:rvol=0 | F:adx=20.52 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=40.72 | F:liquidity_distance=91.8 | F:liquidity_spread=6.7 | F:return_strength=100,158.098,53408,8443697.984,-27.02,-0.05,3.04,0.01,-27.02,-0.05,-8001.43,-0.08
333,Exit short,2025-01-08 19:20,Short Exit,158.432,105566,16716481.67,-54.08,-0.05,28.04,0.03,-54.08,-0.05,-8055.51,-0.08
333,Entry short,2025-01-08 18:45, | F:score=50 | F:fresh=7 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.65 | F:is_accuracy=0 | F:trend=1 | F:rsi=49.66 | F:htf_trend=1 | F:rvol=0 | F:adx=12.26 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=99.4 | F:liquidity_spread=9.3 | F:return_strength=50,158.351,105566,16716481.67,-54.08,-0.05,28.04,0.03,-54.08,-0.05,-8055.51,-0.08
