Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
42,Exit short,2023-07-19 20:10,Short Exit,180.353,99818,17997484.85,-35.94,-0.03,143.78,0.11,-35.94,-0.03,3.33,0.00
42,Entry short,2023-07-19 19:10," | F:75,39,2,1,0.48,1,0,60.57,0,0,23.15,0,60,34.41,98.6,29.9,16.67",180.303,99818,17997484.85,-35.94,-0.03,143.78,0.11,-35.94,-0.03,3.33,0.00
43,Exit long,2023-07-21 14:50,Long Exit,181.935,14528,2649950.784,-48.53,-0.26,8.09,0.04,-48.53,-0.26,-45.2,0.00
43,Entry long,2023-07-21 12:25," | F:75,19,1,0,1.06,0,1,68.76,1,0,47.76,0,80,47.28,88.4,30.2,50",182.403,14528,2649950.784,-48.53,-0.26,8.09,0.04,-48.53,-0.26,-45.2,0.00
44,Exit long,2023-07-26 20:45,Long Exit,181.439,77249,14021465.99,-38.89,-0.04,5.48,0.01,-38.89,-0.04,-84.09,0.00
44,Entry long,2023-07-26 20:30," | F:70,23,2,0,0.62,0,1,47.86,1,0,31.58,0,80,50,95.2,13.5,37.82",181.51,77249,14021465.99,-38.89,-0.04,5.48,0.01,-38.89,-0.04,-84.09,0.00
45,Exit long,2023-07-27 16:40,Long Exit,180.878,57683,10439469.34,-41.94,-0.06,9.05,0.01,-41.94,-0.06,-126.03,0.00
45,Entry long,2023-07-27 16:35," | F:45,137,2,0,0.76,0,0,28.79,1,0,40.2,0,80,50,94.4,11.4,36.67",180.98,57683,10439469.34,-41.94,-0.06,9.05,0.01,-41.94,-0.06,-126.03,0.00
46,Exit short,2023-07-31 16:45,Short Exit,183.11,38736,7086596.256,-44.98,-0.09,33.19,0.07,-44.98,-0.09,-171.01,0.00
46,Entry short,2023-07-31 16:20," | F:60,32,2,1,0.87,1,1,55.79,1,0,16.79,0,60,42.97,92.6,19.5,29.46",182.946,38736,7086596.256,-44.98,-0.09,33.19,0.07,-44.98,-0.09,-171.01,0.00
47,Exit long,2023-08-01 09:30,Long Exit,182.974,100442,18383397.05,-36,-0.03,4.23,0.00,-36,-0.03,-207.01,0.00
47,Entry long,2023-08-01 09:25," | F:75,25,0,0,0.68,1,1,46.96,1,0,15.64,0,60,34.68,98,20.8,36.67",183.025,100442,18383397.05,-36,-0.03,4.23,0.00,-36,-0.03,-207.01,0.00
48,Exit short,2023-08-01 16:30,Short Exit,183.034,85306,15608438.82,-38.36,-0.03,100.11,0.09,-38.36,-0.03,-245.37,0.00
48,Entry short,2023-08-01 16:05," | F:60,44,2,1,0.69,1,1,62.29,1,0,13.46,0,60,42.34,91,35,36.67",182.97,85306,15608438.82,-38.36,-0.03,100.11,0.09,-38.36,-0.03,-245.37,0.00
49,Exit long,2023-08-08 10:15,Long Exit,182.334,38043,6942923.586,-44.84,-0.09,17.62,0.04,-44.84,-0.09,-290.21,0.00
49,Entry long,2023-08-08 10:00," | F:70,81,1,0,0.53,0,1,40.78,1,0,25.79,0,60,47.78,79.6,15.2,36.67",182.502,38043,6942923.586,-44.84,-0.09,17.62,0.04,-44.84,-0.09,-290.21,0.00
50,Exit long,2023-08-09 18:50,Long Exit,182.564,57913,10578851.88,-41.99,-0.06,16.15,0.02,-41.99,-0.06,-332.2,0.00
50,Entry long,2023-08-09 18:30," | F:80,21,2,0,0.42,1,1,45.99,1,0,19.14,0,40,49.43,91.6,13.4,36.67",182.668,57913,10578851.88,-41.99,-0.06,16.15,0.02,-41.99,-0.06,-332.2,0.00
