score,fresh,session,zone_type,atr_ratio,is_accuracy,trend,rsi,htf_trend,rvol,adx,touch_count,base_quality,departure_strength,liquidity_distance,liquidity_spread,liquidity_distance_score,liquidity_spread_score,return_strength,outcome
95,85,1,0,0.38,1,1,38.97,1,0.0,13.44,1,0,31.17,1.0,14.2,98.0,14.2,100.0,0
95,27,2,0,0.77,0,1,56.59,1,0.0,12.67,1,100,56.11,0.5,8.7,99.0,8.7,50.0,0
90,85,2,1,0.34,0,1,63.3,1,0.0,46.64,1,100,50.0,6.7,3.7,86.6,3.7,36.67,0
95,116,2,1,0.28,0,1,69.51,1,0.0,37.09,1,100,52.54,2.5,3.7,95.0,3.7,51.63,1
95,47,2,1,0.17,1,0,57.42,0,0.0,32.09,1,100,39.73,3.1,9.7,93.8,9.7,100.0,1
95,55,1,1,0.38,1,0,62.14,0,0.0,28.36,1,100,40.12,1.1,9.1,97.8,9.1,61.49,1
90,11,0,1,0.88,0,0,44.27,0,0.0,30.41,1,100,41.24,1.2,4.5,97.6,4.5,100.0,0
95,8,2,0,1.7,0,1,53.01,0,0.0,25.85,1,0,31.22,1.1,5.3,97.8,5.3,100.0,0
100,38,2,0,0.66,1,1,45.34,0,0.0,24.62,1,100,47.68,1.6,2.1,96.8,2.1,53.37,1
90,8,2,1,0.68,0,1,47.54,0,0.0,18.16,1,100,50.0,0.5,6.8,99.0,6.8,100.0,0
75,7,2,0,0.91,1,0,43.94,0,0.0,26.43,1,0,36.15,0.1,2.0,99.8,2.0,100.0,0
95,19,1,1,0.76,0,0,48.01,0,0.0,36.78,1,0,33.56,4.1,7.7,91.8,7.7,62.88,1
95,7,2,1,1.12,0,0,55.47,0,0.0,17.68,1,100,43.66,1.6,6.1,96.8,6.1,100.0,0
75,91,2,1,0.77,0,1,58.19,0,0.0,16.81,1,100,50.25,2.5,5.6,95.0,5.6,100.0,0
75,17,2,1,0.98,0,1,52.79,0,0.0,12.31,1,100,40.47,0.6,5.5,98.8,5.5,78.97,0
90,15,1,0,0.51,0,1,56.12,0,0.0,22.92,1,0,25.0,0.5,3.3,99.0,3.3,50.0,0
85,14,2,0,1.04,0,1,53.93,1,0.0,41.74,1,100,50.0,0.2,2.4,99.6,2.4,51.19,0
70,40,2,1,0.16,0,1,65.14,0,0.0,27.9,1,100,41.78,0.3,0.3,99.4,0.3,100.0,0
95,8,2,0,1.19,0,1,44.69,1,0.0,20.14,1,100,41.83,0.2,0.7,99.6,0.7,100.0,0
95,11,1,0,0.66,0,1,47.33,1,0.0,17.03,1,100,39.33,1.8,3.7,96.4,3.7,47.08,0
90,46,2,1,1.98,0,0,61.4,1,0.0,23.27,1,100,50.0,1.9,8.5,96.2,8.5,45.45,0
90,68,1,0,0.78,0,1,38.62,1,0.0,25.69,1,100,30.32,0.4,3.6,99.2,3.6,54.52,1
