Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
361,Exit long,2025-05-07 01:15,Long Exit,1.1332,37037,42002.55059,-32.22,-0.08,10,0.02,-32.22,-0.08,-767.07,-0.01
361,Entry long,2025-05-07 01:10," | F:75,72,3,0,0.87,0,0,27.84,1,3.61,30.58,1,80,56.85,82.2,9.5,36.67",1.13407,37037,42002.55059,-32.22,-0.08,10,0.02,-32.22,-0.08,-767.07,-0.01
362,Exit long,2025-05-07 06:55,Long Exit,1.13462,31915,36195.75895,15.64,0.04,15.64,0.04,-15.32,-0.04,-751.43,-0.01
362,Entry long,2025-05-07 05:55," | F:55,10,0,0,0.71,1,0,49.25,1,0.66,10.82,1,80,38.46,95.8,5.3,36.67",1.13413,31915,36195.75895,15.64,0.04,15.64,0.04,-15.32,-0.04,-751.43,-0.01
363,Exit short,2025-05-08 23:25,Short Exit,1.12296,44118,49510.10196,-32.65,-0.07,10.15,0.02,-32.65,-0.07,-784.08,-0.01
363,Entry short,2025-05-08 23:00," | F:75,22,2,1,0.51,1,0,48.08,0,0.85,19.36,1,80,32.87,99.6,8.1,36.67",1.12222,44118,49510.10196,-32.65,-0.07,10.15,0.02,-32.65,-0.07,-784.08,-0.01
364,Exit short,2025-05-09 13:00,Short Exit,1.12438,46154,51926.48078,31.85,0.06,31.85,0.06,-4.62,-0.01,-752.23,-0.01
364,Entry short,2025-05-09 12:35," | F:60,7,1,1,0.32,1,1,50.74,0,0.91,28.41,1,60,50,98.6,4.6,50",1.12507,46154,51926.48078,31.85,0.06,31.85,0.06,-4.62,-0.01,-752.23,-0.01
365,Exit short,2025-05-15 12:10,Short Exit,1.12127,40541,45424.97427,-32.43,-0.07,4.86,0.01,-32.43,-0.07,-784.66,-0.01
365,Entry short,2025-05-15 11:45," | F:60,16,1,1,0.59,1,1,51.77,0,0.93,24.1,1,60,44.33,96.8,4.2,36.67",1.12047,40541,45424.97427,-32.43,-0.07,4.86,0.01,-32.43,-0.07,-784.66,-0.01
366,Exit long,2025-05-15 13:50,Long Exit,1.11991,18293,20502.61147,-16.1,-0.08,0,0.00,-16.1,-0.08,-800.76,-0.01
366,Entry long,2025-05-15 13:35," | F:70,5,1,0,0.86,0,1,53.78,0,0.93,11.79,1,40,50,99.4,4.1,50",1.12079,18293,20502.61147,-16.1,-0.08,0,0.00,-16.1,-0.08,-800.76,-0.01
367,Exit short,2025-05-15 19:50,Short Exit,1.11755,39474,44146.14264,31.97,0.07,31.97,0.07,-2.76,-0.01,-768.79,-0.01
367,Entry short,2025-05-15 19:05," | F:75,11,2,1,0.66,0,0,45.9,0,0.71,17.48,1,60,46.85,88,7.5,40.83",1.11836,39474,44146.14264,31.97,0.07,31.97,0.07,-2.76,-0.01,-768.79,-0.01
368,Exit short,2025-05-16 21:00,Short Exit,1.11469,42857,47739.69801,-32.57,-0.07,0,0.00,-32.57,-0.07,-801.36,-0.01
368,Entry short,2025-05-16 20:40," | F:70,7,2,1,0.59,0,0,39.64,0,0.69,35.14,1,60,25.42,99.8,4.4,68.86",1.11393,42857,47739.69801,-32.57,-0.07,0,0.00,-32.57,-0.07,-801.36,-0.01
369,Exit short,2025-05-20 17:00,Short Exit,1.12509,63830,71780.6648,-33.83,-0.05,0,0.00,-33.83,-0.05,-835.19,-0.01
369,Entry short,2025-05-20 16:55," | F:75,29,2,1,0.2,1,1,60.02,1,1.22,29.33,1,20,30.37,97,3.4,36.67",1.12456,63830,71780.6648,-33.83,-0.05,0,0.00,-33.83,-0.05,-835.19,-0.01
370,Exit short,2025-05-22 18:55,Short Exit,1.12789,60000,67704.6,31.2,0.05,31.2,0.05,-25.2,-0.04,-803.99,-0.01
370,Entry short,2025-05-22 18:35," | F:75,12,2,1,0.54,0,0,48.09,1,0.62,23.29,1,80,46.89,88.2,7.2,36.67",1.12841,60000,67704.6,31.2,0.05,31.2,0.05,-25.2,-0.04,-803.99,-0.01
371,Exit long,2025-05-23 11:55,Long Exit,1.13433,54545,61840.39375,31.64,0.05,31.64,0.05,-14.73,-0.02,-772.35,-0.01
371,Entry long,2025-05-23 11:30," | F:80,12,1,0,1.01,1,1,59.37,1,0.78,37.94,1,100,55.58,96.6,9.4,50",1.13375,54545,61840.39375,31.64,0.05,31.64,0.05,-14.73,-0.02,-772.35,-0.01
372,Exit long,2025-05-23 22:05,Long Exit,1.13655,28846,32769.056,15.87,0.05,15.87,0.05,-5.48,-0.02,-756.49,-0.01
372,Entry long,2025-05-23 21:45," | F:70,16,2,0,0.78,0,1,51.75,1,0.78,20.23,1,80,43.71,96.2,8.1,50",1.136,28846,32769.056,15.87,0.05,15.87,0.05,-5.48,-0.02,-756.49,-0.01
373,Exit short,2025-05-26 15:15,Short Exit,1.13733,62500,71114.375,31.25,0.04,31.25,0.04,-4.37,-0.01,-725.24,-0.01
373,Entry short,2025-05-26 15:10," | F:70,11,2,1,0.89,0,0,45.27,1,0.93,18.87,1,60,34.55,97.8,5.7,36.67",1.13783,62500,71114.375,31.25,0.04,31.25,0.04,-4.37,-0.01,-725.24,-0.01
374,Exit long,2025-05-28 21:25,Long Exit,1.12861,43478,49102.31408,-32.61,-0.07,31.3,0.06,-32.61,-0.07,-757.84,-0.01
374,Entry long,2025-05-28 19:35," | F:50,6,2,0,0.91,0,0,44.38,0,0.55,27.49,1,60,50,97.8,3.9,49.22",1.12936,43478,49102.31408,-32.61,-0.07,31.3,0.06,-32.61,-0.07,-757.84,-0.01
375,Exit short,2025-06-03 16:35,Short Exit,1.13923,33333,37941.95391,-32,-0.08,18.33,0.05,-32,-0.08,-789.84,-0.01
375,Entry short,2025-06-03 16:25," | F:65,17,2,1,0.83,0,0,41.72,1,1.2,38.07,1,80,50,95.6,7.7,85.15",1.13827,33333,37941.95391,-32,-0.08,18.33,0.05,-32,-0.08,-789.84,-0.01
376,Exit short,2025-06-04 19:55,Short Exit,1.14331,41667,47605.79751,-32.5,-0.07,0.42,0.00,-32.5,-0.07,-822.34,-0.01
376,Entry short,2025-06-04 19:40," | F:55,21,2,1,0.66,0,1,54.61,1,0.83,25.83,1,60,43.12,93,9.4,36.67",1.14253,41667,47605.79751,-32.5,-0.07,0.42,0.00,-32.5,-0.07,-822.34,-0.01
377,Exit long,2025-06-05 05:05,Long Exit,1.14122,53571,61169.51064,-33.21,-0.05,3.75,0.01,-33.21,-0.05,-855.56,-0.01
377,Entry long,2025-06-05 04:50," | F:65,47,0,0,0.31,0,1,42.73,1,1.12,22.67,1,40,50,96.8,12.2,36.67",1.14184,53571,61169.51064,-33.21,-0.05,3.75,0.01,-33.21,-0.05,-855.56,-0.01
