pair_xauusd,pair_gbpjpy,pair_usdjpy,pair_gbpcad,pair_chfjpy,pair_nas100,entry_default,entry_flip,entry_boc,trade_score_numeric,session_london,session_newyork,session_tokyo,session_sydney,rsi,news_event,zone_supply,liquidity_distance,sl_pips,potential_rr,close_bullish,win,source,pair_eurusd
1,0,0,0,0,0,1,0,0,3.0,1,0,0,0,50.0,0,1,25.0,140.0,2.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,1,5.0,295.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,2.0,0,1,0,0,50.0,0,0,25.0,123.0,2.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,0,0,0,50.0,0,0,146.0,326.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,0,1,0,0,50.0,0,0,179.0,677.0,1.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,0,0,0,50.0,0,1,101.0,166.0,2.0,1,1,notion,0
1,0,0,0,0,0,1,0,0,2.0,1,0,0,0,50.0,0,0,47.0,249.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,0,0,0,50.0,0,1,108.0,111.0,3.0,0,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,0,0,0,50.0,0,0,144.0,137.0,2.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,0,0,0,50.0,0,1,112.0,163.0,5.0,1,1,notion,0
1,0,0,0,0,0,1,0,0,5.0,1,0,1,0,50.0,0,0,80.0,180.0,2.0,1,1,notion,0
1,0,0,0,0,0,1,0,0,5.0,0,0,1,1,50.0,0,0,63.0,156.0,2.0,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,1,0,50.0,0,0,61.0,135.0,3.0,0,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,0,0,1,1,50.0,0,0,405.0,2260.0,2.0,0,0,notion,0
1,0,0,0,0,0,0,0,1,4.0,1,1,0,0,50.0,0,0,10.0,2877.0,1.5,0,1,notion,0
1,0,0,0,0,0,0,0,1,3.0,1,0,0,0,50.0,0,1,109.0,794.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,1,0,0,50.0,0,1,327.0,702.0,1.5,1,1,notion,0
1,0,0,0,0,0,0,0,0,2.0,0,0,0,0,50.0,0,0,0.0,0.0,2.0,0,0,notion,0
1,0,0,0,0,0,0,1,0,4.0,1,0,0,0,50.0,0,0,66.0,95.0,3.0,1,1,notion,0
